 24,   1,  2004,   3,   0
 25,   5,  2004,  18,   0
 11,   5,  2004,   9,   0
 13,   2,  2004,  21,   0
 26,   3,  2004,   5,   0
 18,   3,  2004,   8,   0
 22,   4,  2004,   2,   0
 15,   5,  2004,  16,   0
 17,   1,  2004,   4,   0
  5,   1,  2004,  21,   0
 23,   5,  2004,  18,   0
 15,   3,  2004,  11,   0
 11,   5,  2004,   2,   0
  1,   1,  2004,   9,   0
 17,   3,  2004,  15,   0
  4,   5,  2004,   2,   0
  9,   2,  2004,   9,   0
 11,   6,  2004,  14,   0
  4,   6,  2004,   1,   0
  6,   1,  2004,   7,   0
